127.0.0.1 - - [25/Jun/2015:17:16:01 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/ HTTP/1.1" 200 3810
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/css/zice.style.css HTTP/1.1" 200 15520
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/css/tipsy.css HTTP/1.1" 200 2323
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/jquery/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/images/toplogo.png HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/css/icon.css HTTP/1.1" 200 34712
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/images/loader_green.gif HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/js/jquery-jrumble.js HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/jquery/jquery.cookie.js HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/js/iphone.check.js HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/js/jquery.tipsy.js HTTP/1.1" 200 9450
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/js/login.js HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:02 +0800] "GET //bcmp/plug-in/login/css/buttons.css HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/typelogin.png HTTP/1.1" 200 66317
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/pick_bg.jpg HTTP/1.1" 200 38792
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/shadowForm.png HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/pass_.png HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/user_.png HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [25/Jun/2015:17:16:03 +0800] "GET //bcmp/plug-in/login/images/top_bgrepeat.jpg HTTP/1.1" 200 849
